,Description,Type,Example,Coverage,min,max,mean,std,top,uniq,freq,entr,Failed,_max_range,uniq_ratio,Null_ratio,is_key
static_data__fullrecord_metadata__normalized_doctypes__@count,,TINYINT UNSIGNED,1,1.0,1,1,,,1,1,1.0,-0.0,False,254,1.954422858929758e-05,0.01,False
static_data__fullrecord_metadata__normalized_doctypes__doctype,,VARCHAR(32),Review,1.0,6,18,,,Article,8,0.6121643278739788,1.769412249305999,False,27,0.00015635382871438065,0.01,False
static_data__fullrecord_metadata__references__@count,,SMALLINT UNSIGNED,1,1.0,0,6349,,,0,274,0.35773756009850294,3.876009618376635,False,65534,0.005355118633467537,0.01,False
static_data__fullrecord_metadata__references__reference__@occurenceOrder,,TINYINT UNSIGNED,1,0.16858851581128093,1,2,,,1,3,0.831411484188719,0.4332901497614554,False,254,5.863268576789274e-05,0.01,False
static_data__fullrecord_metadata__references__reference__uid,,VARCHAR(64),WOS:000203024800008.1,0.16858851581128093,15,24,,,WOS:000201327900015,8586,0.831411484188719,2.635502617414152,False,36,0.16780674666770903,0.01,False
static_data__fullrecord_metadata__references__reference__year,,VARCHAR(32),1943,0.14750029316342883,4,14,,,1944,77,0.8524997068365712,0.7931613216395789,False,21,0.0015049056013759137,0.01,False
static_data__fullrecord_metadata__references__reference__citedWork,,TEXT,13 ANN REPORT HIST C,0.16851033889692374,2,110,,,NATURE,5373,0.8314896611030763,2.418625826645707,False,165,0.1050111402102959,0.01,False
static_data__fullrecord_metadata__addresses__@count,,TINYINT UNSIGNED,0,1.0,0,5,,,0,6,0.9694523707149278,0.20673744002502617,False,254,0.00011726537153578548,0.01,False
static_data__fullrecord_metadata__category_info__headings__@count,,TINYINT UNSIGNED,1,1.0,1,2,,,1,2,0.9786772466090763,0.14880437129899574,False,254,3.908845717859516e-05,0.01,False
static_data__fullrecord_metadata__category_info__headings__heading,,VARCHAR(32),Science & Technology,0.9786772466090763,15,20,,,Science & Technology,3,0.8093851385685807,0.680741172366645,False,30,5.863268576789274e-05,0.01,False
static_data__fullrecord_metadata__category_info__subheadings__@count,,TINYINT UNSIGNED,1,0.7628698745260525,1,2,,,1,3,0.7535668217175469,0.37037818162033564,False,254,5.863268576789274e-05,0.01,False
static_data__fullrecord_metadata__category_info__subheadings__subheading,,VARCHAR(64),Technology,0.7535668217175469,10,27,,,Life Sciences & Biomedicine,4,0.5925810108275026,1.0135376425122682,False,40,7.817691435719032e-05,0.01,False
static_data__fullrecord_metadata__category_info__subjects__@count,,TINYINT UNSIGNED,2,1.0,2,8,,,2,7,0.8684282531368487,0.7507920242856198,False,254,0.00013680960012508306,0.01,False
static_data__fullrecord_metadata__fund_ack,,BOOLEAN,,0.0,0,1,,,,1,1.0,-0.0,False,1,1.954422858929758e-05,0.01,False
static_data__item__@xmlns:xsi,,VARCHAR(64),http://www.w3.org/2001/XMLSchema-instance,1.0,41,41,,,http://www.w3.org/2001/XMLSchema-instance,1,1.0,-0.0,False,61,1.954422858929758e-05,0.01,False
static_data__item__@xsi:type,,VARCHAR(32),itemType_wos,1.0,12,12,,,itemType_wos,1,1.0,-0.0,False,18,1.954422858929758e-05,0.01,False
static_data__item__ids__@avail,,VARCHAR(1),Y,1.0,1,1,,,Y,2,0.8948129617324004,0.48522569983835795,False,1,3.908845717859516e-05,0.01,False
static_data__item__ids__#text,,VARCHAR(8),V44TK,1.0,5,5,,,UX493,3453,0.010690693038345777,11.203728626713252,False,7,0.06748622131884455,0.01,False
static_data__item__bib_id,,VARCHAR(64),8 (3): 212-213 JUL 1945,1.0,11,33,,,53 (30): 411-411 1945,43640,0.0007231364578040105,15.163587038618177,False,49,0.8529101356369464,0.01,True
static_data__item__bib_pagecount__@type,,VARCHAR(16),Journal,0.33866239299534845,7,7,,,Journal,2,0.6613376070046515,0.5290178538884782,False,10,3.908845717859516e-05,0.01,False
static_data__item__bib_pagecount__#text,,SMALLINT UNSIGNED,62,0.33866239299534845,0,647,,,0,156,0.6613376070046515,2.3334186322516217,False,65534,0.0030488996599304227,0.01,False
